Temperature,Date,site
25.28,2023-03-03,MacNorth
25.26,2023-03-04,MacNorth
25.51,2023-03-05,MacNorth
25.7,2023-03-06,MacNorth
25.87,2023-03-07,MacNorth
25.900000000000002,2023-03-08,MacNorth
25.84,2023-03-09,MacNorth
25.44,2023-03-10,MacNorth
25.14,2023-03-11,MacNorth
25.14,2023-03-12,MacNorth
25.17,2023-03-13,MacNorth
25.13,2023-03-14,MacNorth
24.88,2023-03-15,MacNorth
24.810000000000002,2023-03-16,MacNorth
24.6,2023-03-17,MacNorth
24.36,2023-03-18,MacNorth
24.37,2023-03-19,MacNorth
24.03,2023-03-20,MacNorth
24.060000000000002,2023-03-21,MacNorth
24.1,2023-03-22,MacNorth
24.34,2023-03-23,MacNorth
24.5,2023-03-24,MacNorth
24.93,2023-03-25,MacNorth
25.310000000000002,2023-03-26,MacNorth
25.64,2023-03-27,MacNorth
25.900000000000002,2023-03-28,MacNorth
26.01,2023-03-29,MacNorth
26.04,2023-03-30,MacNorth
25.92,2023-03-31,MacNorth
25.78,2023-04-01,MacNorth
26.02,2023-04-02,MacNorth
26.400000000000002,2023-04-03,MacNorth
26.55,2023-04-04,MacNorth
26.67,2023-04-05,MacNorth
26.490000000000002,2023-04-06,MacNorth
26.41,2023-04-07,MacNorth
26.44,2023-04-08,MacNorth
26.37,2023-04-09,MacNorth
26.32,2023-04-10,MacNorth
26.18,2023-04-11,MacNorth
25.68,2023-04-12,MacNorth
25.86,2023-04-13,MacNorth
26.13,2023-04-14,MacNorth
26.43,2023-04-15,MacNorth
26.59,2023-04-16,MacNorth
26.830000000000002,2023-04-17,MacNorth
26.82,2023-04-18,MacNorth
26.43,2023-04-19,MacNorth
26.23,2023-04-20,MacNorth
26.3,2023-04-21,MacNorth
26.34,2023-04-22,MacNorth
26.62,2023-04-23,MacNorth
26.740000000000002,2023-04-24,MacNorth
26.7,2023-04-25,MacNorth
26.73,2023-04-26,MacNorth
26.75,2023-04-27,MacNorth
27.03,2023-04-28,MacNorth
26.97,2023-04-29,MacNorth
27.080000000000002,2023-04-30,MacNorth
26.48,2023-05-01,MacNorth
26.46,2023-05-02,MacNorth
26.47,2023-05-03,MacNorth
26.75,2023-05-04,MacNorth
26.6,2023-05-05,MacNorth
26.69,2023-05-06,MacNorth
26.75,2023-05-07,MacNorth
26.51,2023-05-08,MacNorth
26.8,2023-05-09,MacNorth
27.04,2023-05-10,MacNorth
27.27,2023-05-11,MacNorth
27.22,2023-05-12,MacNorth
27.23,2023-05-13,MacNorth
27.11,2023-05-14,MacNorth
27.22,2023-05-15,MacNorth
27.39,2023-05-16,MacNorth
27.69,2023-05-17,MacNorth
28.04,2023-05-18,MacNorth
28.13,2023-05-19,MacNorth
28.14,2023-05-20,MacNorth
28.36,2023-05-21,MacNorth
28.44,2023-05-22,MacNorth
28.54,2023-05-23,MacNorth
28.62,2023-05-24,MacNorth
28.52,2023-05-25,MacNorth
28.52,2023-05-26,MacNorth
28.2,2023-05-27,MacNorth
28.35,2023-05-28,MacNorth
28.36,2023-05-29,MacNorth
28.35,2023-05-30,MacNorth
28.35,2023-05-31,MacNorth
28.28,2023-06-01,MacNorth
28.18,2023-06-02,MacNorth
28.3,2023-06-03,MacNorth
28.25,2023-06-04,MacNorth
28.47,2023-06-05,MacNorth
28.330000000000002,2023-06-06,MacNorth
28.22,2023-06-07,MacNorth
28.23,2023-06-08,MacNorth
28.36,2023-06-09,MacNorth
28.6,2023-06-10,MacNorth
28.810000000000002,2023-06-11,MacNorth
28.87,2023-06-12,MacNorth
28.73,2023-06-13,MacNorth
28.89,2023-06-14,MacNorth
29.3,2023-06-15,MacNorth
29.330000000000002,2023-06-16,MacNorth
29.11,2023-06-17,MacNorth
29.14,2023-06-18,MacNorth
28.98,2023-06-19,MacNorth
28.990000000000002,2023-06-20,MacNorth
29.080000000000002,2023-06-21,MacNorth
29.23,2023-06-22,MacNorth
29.19,2023-06-23,MacNorth
29.57,2023-06-24,MacNorth
29.16,2023-06-25,MacNorth
29.57,2023-06-26,MacNorth
29.76,2023-06-27,MacNorth
29.91,2023-06-28,MacNorth
30.04,2023-06-29,MacNorth
29.98,2023-06-30,MacNorth
30.14,2023-07-01,MacNorth
